UNIQUE_ID,EMPLOYER_TYPE,OCCUPATION,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME
1021,Private,Transport-moving,0,0,40,<=50K
14249,Private,Craft-repair,0,0,40,<=50K
11259,,,0,0,50,<=50K
4180,,,0,0,40,<=50K
6692,Private,Sales,0,0,40,<=50K
11276,Private,Craft-repair,0,0,40,>50K
5049,Private,Sales,0,0,60,>50K
7116,Private,Craft-repair,0,0,40,<=50K
15540,Private,Machine-op-inspct,0,0,40,<=50K
15393,Private,Handlers-cleaners,0,0,40,<=50K
12513,Private,Other-service,0,0,40,<=50K
3341,Private,Other-service,0,0,40,<=50K
4073,Private,Adm-clerical,0,0,35,<=50K
3417,Federal-gov,Tech-support,7687.5,0,40,>50K
9437,State-gov,Protective-serv,0,0,40,<=50K
11579,Self-emp-not-inc,Farming-fishing,0,0,60,<=50K
6923,Private,Sales,0,0,60,>50K
13746,,,0,0,40,<=50K
14244,Self-emp-not-inc,Other-service,0,0,40,<=50K
906,,,0,0,40,<=50K
7860,Federal-gov,Other-service,0,0,40,<=50K
15399,Private,Adm-clerical,0,0,44,<=50K
4273,Private,Farming-fishing,0,0,40,<=50K
5818,Self-emp-inc,Farming-fishing,0,0,65,<=50K
10612,Private,Craft-repair,0,0,40,>50K
13905,Self-emp-inc,Exec-managerial,0,0,50,<=50K
20237,Private,Sales,0,0,30,>50K
23635,,,0,0,40,>50K
2061,Local-gov,Prof-specialty,0,0,40,>50K
32613,Private,Prof-specialty,0,0,22,>50K
12089,Private,Machine-op-inspct,0,0,40,<=50K
10293,Federal-gov,Tech-support,0,0,40,<=50K
7369,Private,Prof-specialty,0,0,50,>50K
7325,Private,Sales,0,0,40,<=50K
11841,Private,Sales,0,1902,40,>50K
8364,Private,Machine-op-inspct,0,0,60,<=50K
7034,Private,Exec-managerial,0,0,50,>50K
7458,Private,Adm-clerical,0,0,40,<=50K
8680,Self-emp-not-inc,Adm-clerical,2174,0,40,<=50K
11528,Federal-gov,Exec-managerial,0,0,40,>50K
4014,Private,Craft-repair,0,0,40,<=50K
12809,Federal-gov,Craft-repair,0,0,40,>50K
10194,,,0,0,40,<=50K
9210,Private,Prof-specialty,0,0,40,<=50K
1621,State-gov,Other-service,0,0,40,<=50K
12587,Private,Transport-moving,0,0,50,<=50K
11078,Private,Adm-clerical,0,0,25,>50K
9850,Private,Tech-support,3325,0,60,<=50K
4590,Private,Sales,0,0,50,<=50K
3965,Private,Sales,0,0,40,>50K
5240,Private,Exec-managerial,0,0,55,>50K
4804,Self-emp-not-inc,Transport-moving,0,0,15,>50K
4169,Private,Other-service,0,0,22,<=50K
8326,Self-emp-inc,Exec-managerial,0,0,45,>50K
3595,Private,Other-service,0,0,40,<=50K
4088,Private,Machine-op-inspct,0,0,40,>50K
17697,Private,Sales,0,0,60,>50K
15668,Private,Farming-fishing,0,0,40,<=50K
15736,Private,Craft-repair,0,0,40,>50K
15898,Private,Craft-repair,0,0,40,<=50K
363,Private,Sales,4064,0,40,<=50K
7283,Private,Exec-managerial,0,0,30,<=50K
14979,Local-gov,Transport-moving,0,0,40,<=50K
32619,Private,Exec-managerial,0,0,48,>50K
8676,Local-gov,Prof-specialty,0,0,40,<=50K
11108,Federal-gov,Other-service,3273,0,40,<=50K
8019,Private,Craft-repair,0,0,50,<=50K
12776,Private,Sales,0,0,25,<=50K
5992,Private,Adm-clerical,0,0,45,<=50K
313,Private,Craft-repair,0,0,40,<=50K
2903,Private,Prof-specialty,0,0,20,<=50K
9308,Private,Handlers-cleaners,0,0,40,<=50K
15974,Private,Exec-managerial,0,0,40,<=50K
11047,Local-gov,Exec-managerial,0,1258,40,<=50K
16908,Private,Prof-specialty,0,0,50,>50K
3221,Private,Craft-repair,0,0,40,<=50K
5479,Private,Sales,0,0,40,<=50K
22804,Private,Prof-specialty,0,0,40,>50K
6911,Private,Prof-specialty,0,0,40,<=50K
14385,Self-emp-not-inc,Prof-specialty,5178,0,50,>50K
739,Self-emp-not-inc,Prof-specialty,0,0,60,>50K
15447,Private,Exec-managerial,0,0,40,>50K
905,Private,Craft-repair,5178,0,48,>50K
8754,Private,Protective-serv,0,0,99,<=50K
29355,Self-emp-inc,Exec-managerial,7687.5,0,40,>50K
7428,Private,Machine-op-inspct,0,0,35,<=50K
9270,,,0,0,20,<=50K
2096,Private,Sales,0,0,60,>50K
13225,Private,Machine-op-inspct,5556,0,40,>50K
5812,State-gov,Craft-repair,0,0,40,>50K
4950,Self-emp-not-inc,Craft-repair,0,0,42,>50K
27617,Private,Machine-op-inspct,0,0,45,>50K
1774,Private,Adm-clerical,0,0,40,>50K
5775,State-gov,Prof-specialty,0,0,40,<=50K
2725,Self-emp-not-inc,Craft-repair,0,0,70,<=50K
5527,State-gov,Adm-clerical,0,0,36,<=50K
28848,Private,Exec-managerial,0,0,50,>50K
12276,Private,Adm-clerical,0,0,40,<=50K
21028,Private,Exec-managerial,15024,0,55,>50K
27250,Private,Exec-managerial,0,0,45,>50K
14195,Private,Handlers-cleaners,0,0,45,<=50K
8048,Private,Other-service,0,0,37,<=50K
3930,Private,Other-service,0,0,30,<=50K
