UNIQUE_ID,AGE,EDUCATION,EDUCATION-NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,NATIVE_COUNTRY
1021,25,Some  -  college,10,Never-married,Transport-moving,Unmarried,White,Male,United-States
14249,37,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
11259,37 YEARS OLD,Some  -  college,10,Married-civ-spouse,,Wife,White,Female,United-States
4180,19,Some  -  college,10,Never-married,,Own-child,White,Male,United-States
6692,66,         HS-grad,9,Widowed,Sales,Not-in-family,White,Female,United-States
11276,31,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States
5049,44,Bachelors,13,Married-civ-spouse,Sales,Husband,White,male,United-States
7116,41,Some  -  college,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,male,United-States
15540,59,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,United-States
15393,25,11th,7,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Male,Mexico
12513,27,Bachelors,13,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Male,Philippines
3341,41,Some  -  college,10,Separated,Other-service,Not-in-family,Black,Male,United-States
4073,21,         HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,Jamaica
3417,45,Some  -  college,10,Married-civ-spouse,Tech-support,Husband,White,Male,Guatemala
9437,27,Some  -  college,10,Never-married,Protective-serv,Not-in-family,White,male,United-States
11579,37,         HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,male,United-States
6923,35,Bachelors,13,Married-civ-spouse,Sales,Husband,White,male,United-States
13746,62,         HS-grad,9,Married-civ-spouse,,Husband,White,male,United-States
14244,57,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,male,Iran
906,50,Masters,14,Married-spouse-absent,,Other-relative,White,male,United-States
7860,20,         HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States
15399,30,         HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,male,United-States
4273,24,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Female,United-States
5818,39,Some  -  college,10,Married-civ-spouse,Farming-fishing,Husband,White,male,United-States
10612,37,         HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,male,United-States
13905,34,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,male,United-States
20237,56,10th,6,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,Japan
23635,59,Bachelors,13,Married-civ-spouse,,Husband,White,male,United-States
2061,51,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,male,United-States
32613,46,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States
12089,43,         HS-grad,9,Divorced,Machine-op-inspct,Other-relative,Black,male,United-States
10293,51,         HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,male,United-States
